benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application3/hamming/append,4,25,12.16,64,31.99,43,26.81,3.16,2.94,70.96
application3/hamming/cons,4,14,5.56,38,14.53,28,12.78,2.26,0.80,32.87
application3/hamming/cons_delete,2,9,3.60,23,9.14,16,7.72,1.44,2.49,20.46
application3/hamming/deleteFirst,1,12,4.86,23,9.19,12,5.58,0.95,9.48,19.62
application3/hamming/delete,1,15,6.34,26,11.41,12,5.85,1.02,0.85,23.59
application3/hamming/reverse,2,7,2.63,15,9.87,10,4.18,1.24,0.79,16.67
application3/hamming/snoc,4,15,6.05,42,17.03,31,14.43,2.39,0.87,37.52
application3/hamming/stutter,2,7,2.49,18,6.63,13,5.41,1.24,2.26,14.53
application3/hamming/tail,2,7,2.43,19,6.91,14,5.66,1.23,0.76,15.00
application3/edit/append,4,49,32.26,102,155.78,57,68.10,12.85,25.85,256.14
application3/edit/cons,0,6,2.56,10,4.26,4,2.06,0.47,8.88,8.88
application3/edit/cons_delete,2,20,10.25,37,17.30,19,13.10,2.14,12.30,40.65
application3/edit/deleteFirst,7,30,16.58,71,151.62,48,34.85,5.91,1.30,203.05
application3/edit/delete,4,29,15.31,61,301.69,36,24.73,3.54,8.36,341.72
application3/edit/reverse,2,14,6.63,28,62.50,16,9.86,1.92,3.41,78.99
application3/edit/snoc,4,31,16.51,59,40.44,32,21.91,3.63,6.95,78.85
application3/edit/stutter,2,14,6.48,26,13.72,14,8.27,1.72,0.97,28.47
application3/edit/tail,2,14,6.28,29,12.85,17,9.86,1.82,9.62,28.99
