benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application3/hamming/append,4,20,9.03,50,23.83,34,19.27,2.79,0.93,52.12
application3/hamming/cons,4,14,5.32,34,12.50,24,10.66,2.20,0.81,28.48
application3/hamming/cons_delete,2,10,4.01,28,11.07,20,9.95,1.62,2.52,25.03
application3/hamming/deleteFirst,1,17,7.11,32,12.39,16,7.52,0.97,9.63,27.01
application3/hamming/delete,1,9,3.49,17,7.10,9,3.99,0.90,2.52,14.58
application3/hamming/reverse,2,7,2.58,14,9.01,9,3.78,1.25,0.78,15.38
application3/hamming/snoc,4,17,6.90,37,14.94,24,11.56,2.40,0.86,33.39
application3/hamming/stutter,2,7,2.65,15,5.68,10,4.26,1.31,0.78,12.59
application3/hamming/tail,2,7,2.47,18,6.57,13,5.39,1.28,0.82,14.43
application3/edit/append,4,52,35.63,96,139.67,48,60.41,14.30,29.51,235.71
application3/edit/cons,0,2,0.81,5,2.01,3,1.47,0.46,4.29,4.29
application3/edit/cons_delete,2,19,9.56,37,17.42,20,13.38,2.26,5.72,40.36
application3/edit/deleteFirst,7,28,15.61,69,152.97,48,35.09,5.67,1.31,203.66
application3/edit/delete,4,26,13.32,60,242.09,38,26.02,3.49,1.31,281.43
application3/edit/reverse,2,14,6.48,34,86.91,22,13.49,1.88,3.34,106.88
application3/edit/snoc,4,26,13.13,57,35.96,35,23.51,3.43,10.29,72.60
application3/edit/stutter,2,12,5.55,25,13.20,15,8.80,1.82,2.98,27.55
application3/edit/tail,3,17,8.00,43,20.85,29,17.93,2.59,9.07,46.78
