benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application2/ArrayList/get_add,2,11,3.78,21,6.21,12,4.51,1.11,0.66,14.50
application2/ArrayList/size_new,1,2,0.55,5,1.34,4,1.21,0.62,0.57,3.09
application2/ArrayList/size_add,1,4,1.25,9,2.53,6,2.05,0.67,1.79,5.82
application2/ArraySet/size_new,1,2,0.60,6,1.79,5,1.59,0.64,0.59,3.98
application2/ArraySet/size_add,2,7,2.35,15,4.77,10,3.73,1.10,0.68,10.85
application2/ArraySet/contains_new,1,2,0.63,6,1.81,5,1.61,0.66,0.65,4.05
application2/ArraySet/contains_add,2,5,1.64,13,4.32,10,3.60,1.05,0.69,9.56
application2/ArraySet/remove_new,1,1,0.33,5,1.04,5,1.77,0.69,0.53,3.14
application2/ArraySet/remove_add,2,7,2.87,15,6.08,10,15.83,9.32,6.87,24.78
application2/HashMap/get_new,1,2,0.66,6,2.33,5,2.18,0.85,0.76,5.18
application2/HashMap/get_put,3,12,4.99,25,347.82,16,266.42,132.87,93.35,619.23
application2/HashMap/put_put,1,4,1.55,9,228.92,6,509.12,364.47,222.77,739.58
