benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application4/conjunction,2,50,57.37,78,21.06,30,111.90,86.39,117.37,190.32
application4/constNeq,1,48,50.14,67,17.26,20,77.64,25.20,24.59,145.04
application4/cube,5,21,8.98,80,19.64,64,147.98,97.24,76.22,176.60
application4/disjunction,1,48,132.68,62,16.14,15,113.86,62.70,54.99,262.68
application4/fourPoints,3,5,1.80,78,20.06,76,199.40,83.06,0.76,221.26
application4/half,5,21,12.68,84,22.68,68,498.69,296.84,270.80,534.05
application4/singlePoint,4,9,8.32,78,19.60,73,139.28,35.71,9.64,167.20
application4/square,4,20,13.66,80,19.78,64,272.10,79.89,53.56,305.53
application4/squareIneq,4,44,32.20,75,19.06,35,71.57,48.71,40.09,122.82
