benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application4/conjunction,2,49,77.74,72,19.55,25,127.69,95.54,104.86,224.98
application4/constNeq,1,46,51.13,63,15.99,18,79.44,36.41,35.60,146.56
application4/cube,5,21,8.89,75,18.75,59,106.18,68.17,55.65,133.83
application4/disjunction,1,52,223.09,72,18.68,21,138.24,71.52,65.81,380.01
application4/fourPoints,4,6,1.98,99,25.92,97,85.72,32.67,0.87,113.61
application4/half,3,19,23.61,62,16.98,46,290.43,261.92,251.22,331.02
application4/singlePoint,4,9,3.66,78,19.82,73,139.57,36.35,9.78,163.04
application4/square,4,20,11.76,81,20.55,65,148.61,78.98,59.15,180.93
application4/squareIneq,4,46,28.63,77,19.88,35,74.12,39.18,38.33,122.64
