benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application4/conjunction,2,50,92.41,79,20.26,31,106.47,60.08,139.04,219.14
application4/constNeq,1,47,58.50,65,16.14,19,80.22,35.88,35.36,154.86
application4/cube,6,22,12.98,84,20.30,68,136.37,74.29,44.30,169.65
application4/disjunction,1,49,89.97,64,16.22,16,106.81,43.43,42.63,213.00
application4/fourPoints,2,4,1.24,53,12.84,51,49.63,27.58,0.75,63.71
application4/half,4,20,18.54,71,17.28,55,331.32,269.22,229.17,367.13
application4/singlePoint,4,9,6.39,82,21.46,77,205.76,57.63,4.59,233.61
application4/square,4,20,24.73,84,20.98,68,119.27,70.11,49.29,164.98
application4/squareIneq,4,46,52.36,82,20.53,40,54.85,28.82,33.52,127.75
