benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application3/hamming/append,4,23,10.67,56,27.99,37,21.74,3.01,0.99,60.39
application3/hamming/cons,4,14,5.31,34,12.52,24,10.66,2.27,0.84,28.49
application3/hamming/cons_delete,2,10,3.85,24,9.38,16,7.54,1.37,2.51,20.78
application3/hamming/deleteFirst,1,17,7.16,32,12.72,16,7.84,0.98,9.98,27.73
application3/hamming/delete,1,9,3.71,17,7.53,9,4.34,0.91,2.59,15.58
application3/hamming/reverse,2,7,2.60,14,9.26,9,3.84,1.24,0.74,15.70
application3/hamming/snoc,4,17,7.11,37,15.56,24,12.26,2.85,1.16,34.94
application3/hamming/stutter,2,7,2.90,15,5.98,10,4.53,1.39,0.83,13.42
application3/hamming/tail,2,7,2.56,18,6.70,13,5.54,1.27,2.29,14.80
application3/edit/append,4,54,37.61,95,144.86,45,61.21,12.83,39.88,243.68
application3/edit/cons,0,2,0.89,5,1.99,3,1.42,0.45,4.29,4.29
application3/edit/cons_delete,2,19,9.91,36,17.15,19,12.94,2.43,7.24,40.00
application3/edit/deleteFirst,7,28,15.46,66,139.50,45,31.87,5.63,6.08,186.82
application3/edit/delete,4,27,13.88,55,212.84,32,21.66,3.44,9.60,248.38
application3/edit/reverse,2,13,5.98,27,61.22,16,9.78,1.90,3.26,76.98
application3/edit/snoc,4,23,11.44,53,35.05,34,22.63,3.34,1.23,69.12
application3/edit/stutter,2,11,5.33,23,13.35,14,8.83,1.98,1.02,27.51
application3/edit/tail,2,16,7.92,32,15.35,18,11.08,1.94,13.26,34.35
