benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application3/hamming/append,4,20,9.06,45,21.03,29,16.45,2.98,0.95,46.54
application3/hamming/cons,4,13,5.33,33,13.26,24,11.13,2.32,3.06,29.72
application3/hamming/cons_delete,2,10,4.06,24,9.77,16,7.78,1.45,2.55,21.61
application3/hamming/deleteFirst,1,13,5.29,26,10.37,14,6.68,0.99,5.98,22.34
application3/hamming/delete,1,17,7.12,30,12.71,14,6.87,1.02,4.58,26.70
application3/hamming/reverse,2,7,2.57,15,9.60,10,4.25,1.27,0.78,16.42
application3/hamming/snoc,4,16,6.55,36,14.94,24,11.78,2.46,0.89,33.27
application3/hamming/stutter,2,7,2.59,17,6.65,12,5.12,1.26,2.34,14.36
application3/hamming/tail,2,8,2.93,21,7.88,15,6.42,1.29,3.86,17.23
application3/edit/append,4,44,29.61,75,118.72,35,47.14,15.25,17.15,195.48
application3/edit/cons,0,6,2.57,10,4.21,4,2.00,0.48,8.77,8.77
application3/edit/cons_delete,2,16,7.43,35,15.43,21,13.48,1.95,10.44,36.34
application3/edit/deleteFirst,7,26,13.58,57,105.00,38,26.52,5.63,1.23,145.09
application3/edit/delete,4,26,13.03,55,206.87,33,22.75,3.64,3.58,242.65
application3/edit/reverse,2,15,7.11,31,69.16,18,11.10,2.02,5.72,87.37
application3/edit/snoc,4,29,15.60,61,38.58,36,26.05,3.67,6.03,80.24
application3/edit/stutter,2,13,5.93,27,13.64,16,9.77,1.78,11.37,29.35
application3/edit/tail,2,16,7.59,28,12.94,14,8.76,1.97,8.42,29.28
