benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application3/hamming/append,4,25,11.53,55,26.84,34,20.48,2.88,0.91,58.84
application3/hamming/cons,4,14,5.07,38,13.53,28,11.87,2.15,0.81,30.47
application3/hamming/cons_delete,2,9,3.35,23,8.64,16,7.04,1.33,2.37,19.03
application3/hamming/deleteFirst,1,12,4.54,23,8.70,12,5.37,0.95,8.93,18.62
application3/hamming/delete,1,15,6.14,28,11.93,14,7.00,1.05,2.64,25.06
application3/hamming/reverse,2,7,2.60,16,10.86,11,4.96,1.29,0.81,18.43
application3/hamming/snoc,4,16,6.53,39,16.10,27,12.53,2.30,0.85,35.15
application3/hamming/stutter,2,7,2.71,18,7.25,13,5.80,1.36,2.48,15.76
application3/hamming/tail,2,7,2.67,19,7.28,14,6.24,1.44,2.50,16.20
application3/edit/append,4,43,29.53,82,129.38,43,56.13,15.47,10.04,215.04
application3/edit/cons,0,6,2.69,10,4.32,4,2.01,0.46,9.01,9.01
application3/edit/cons_delete,2,19,9.82,36,16.80,19,12.77,2.02,11.68,39.38
application3/edit/deleteFirst,7,33,17.80,68,119.95,42,30.59,6.05,1.36,168.34
application3/edit/delete,4,28,15.03,56,180.70,32,22.10,3.62,10.86,217.83
application3/edit/reverse,2,14,6.57,25,52.14,13,7.58,1.72,7.80,66.30
application3/edit/snoc,4,32,16.76,61,38.68,33,22.64,3.44,13.09,78.08
application3/edit/stutter,2,14,6.65,26,13.64,14,8.44,1.77,3.09,28.73
application3/edit/tail,2,14,6.30,29,13.10,17,10.07,1.80,9.69,29.47
