benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application4/conjunction,2,46,36.63,71,18.39,27,106.14,70.79,96.35,161.17
application4/constNeq,1,47,58.61,65,16.24,19,45.52,30.78,69.57,120.36
application4/cube,5,21,9.51,77,18.70,61,138.37,86.73,69.79,166.58
application4/disjunction,1,49,82.32,64,15.91,16,98.55,85.63,142.87,196.79
application4/fourPoints,2,4,1.20,56,13.64,54,69.73,10.51,0.90,84.58
application4/half,5,21,15.74,85,20.72,69,633.05,325.62,300.60,669.51
application4/singlePoint,5,10,6.83,100,26.11,95,252.95,70.67,5.01,285.88
application4/square,4,20,7.57,74,18.68,58,137.72,99.88,84.38,163.97
application4/squareIneq,3,45,97.28,70,17.46,28,90.61,46.89,92.85,205.35
