benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application3/hamming/append,4,23,11.68,56,28.09,37,23.20,3.23,11.26,62.97
application3/hamming/cons,4,13,5.47,33,13.61,24,11.84,2.42,2.61,30.92
application3/hamming/cons_delete,2,10,4.35,26,11.43,18,9.68,1.51,2.56,25.46
application3/hamming/deleteFirst,1,13,5.62,26,10.96,14,6.84,0.99,6.28,23.42
application3/hamming/delete,1,17,7.72,30,13.23,14,6.96,1.02,5.00,27.91
application3/hamming/reverse,2,7,2.57,15,9.40,10,4.20,1.26,0.78,16.17
application3/hamming/snoc,4,16,6.94,44,18.49,32,15.88,2.56,0.97,41.31
application3/hamming/stutter,2,7,2.59,17,6.61,12,5.24,1.32,2.32,14.45
application3/hamming/tail,2,8,2.86,22,8.27,16,6.84,1.31,0.80,17.97
application3/edit/append,4,40,25.20,85,140.90,49,58.68,11.07,19.14,224.79
application3/edit/cons,0,6,2.52,10,4.24,4,2.00,0.45,8.77,8.77
application3/edit/cons_delete,2,16,7.42,35,15.42,21,13.46,2.01,10.47,36.30
application3/edit/deleteFirst,7,28,14.52,69,138.34,48,33.16,5.53,1.23,186.02
application3/edit/delete,4,27,13.88,58,199.60,35,24.03,3.66,1.24,237.51
application3/edit/reverse,2,14,6.40,30,57.33,18,10.90,1.85,5.56,74.63
application3/edit/snoc,4,28,14.52,65,42.97,41,28.32,3.55,1.28,85.81
application3/edit/stutter,2,13,5.74,27,13.16,16,9.31,1.69,11.02,28.21
application3/edit/tail,2,16,7.31,28,12.43,14,8.30,1.90,8.16,28.04
